name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SDN 263 RANCALOA KOTA BANDUNG,-6.946700000000,107.676200000000,Negeri,20245756,SD,0227513422,Jl. Cipamokolan No. 62,Cipamokolan,Kec. Rancasari
SDN 264 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.914500000000,107.659700000000,Negeri,20245577,SD,02220524222,Jl. Plered 9 No. 25,Antapani Tengah,Kec. Antapani
SDN 265 BANDUNGKULON KOTA BANDUNG,-6.921600000000,107.592500000000,Negeri,20244949,SD,,Jl. Cibadak Gg. Ibu Aisah No.16/9A,Cibadak,Kec. Astanaanyar
SDN 266 MENGGER KOTA BANDUNG,-6.949700000000,107.621000000000,Negeri,20245049,SD,02273590207,Jl. Terusan Sukaati No. 21,Mengger,Kec. Bandung Kidul
SDN 267 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.919500000000,107.655800000000,Negeri,20245573,SD,,Jl. Kadipaten 14 No. 2,Antapani Kidul,Kec. Antapani
SDN 268 PANYILEUKAN KOTA BANDUNG,-6.945600000000,107.714300000000,Negeri,20245726,SD,02287882549,Komp. Bumi Panyileukan G.15 No. 23 RT. 01 RW. 07,Cipadung Kidul,Kec. Panyileukan
SDN 269 GRIYA BUMI ANTAPANI KOTA BANDUNG,-6.918000000000,107.665500000000,Negeri,20245579,SD,,Jl. Banjarsari IV No. 1,Antapani Tengah,Kec. Antapani
SDN 270 GENTRA MASEKDAS KOTA BANDUNG,-6.936400000000,107.587200000000,Negeri,20244974,SD,02287786621,Jl. Sukamulya No. 29,Suka Asih,Kec. Bojong Loa Kaler
SDN 271 PANGHEGAR KOTA BANDUNG,-6.929800000000,107.698000000000,Negeri,20245723,SD,,Jl. Pamekar Barat No. 5,Mekar Mulya,Kec. Panyileukan
SDN 272 SUKASARI KOTA BANDUNG,-6.888160000000,107.582331000000,Negeri,20245274,SD,0222012989,Jl. Sukakarya No. 19,Sukagalih,Kec. Sukajadi
